sku,attribute_set_code,store_view_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
A08-03.3,Default,,simple,Default Category,base,PORTADOCUMENTOS DE VIAJE HAPPY TRAVELS NEGRO,,"""",125,1,Taxable Goods,"Catalog, Search",80000,,,,A08-03.3,PORTADOCUMENTOS DE VIAJE HAPPY TRAVELS NEGRO,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
A08-46.3,Default,,simple,Default Category,base,PORTADEOCUMENTOS DE VIAJE HAPPY TRAVELS PEACH,,"""",125,1,Taxable Goods,"Catalog, Search",80000,,,,A08-46.3,PORTADEOCUMENTOS DE VIAJE HAPPY TRAVELS PEACH,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
A08-20.3,Default,,simple,Default Category,base,PORTADOCUMENTOS DE VIAJE HAPPY TRAVELS ROJO,,"""",125,1,Taxable Goods,"Catalog, Search",80000,,,,A08-20.3,PORTADOCUMENTOS DE VIAJE HAPPY TRAVELS ROJO,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
A08-47.3,Default,,simple,Default Category,base,PORTADOCUMENTOS DE VIAJE HAPPY TRAVELS ROSE GOLD,,"""",125,1,Taxable Goods,"Catalog, Search",80000,,,,A08-47.3,PORTADOCUMENTOS DE VIAJE HAPPY TRAVELS ROSE GOLD,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
A55-01,Default,,simple,Default Category/Tarjetero Doble,base,TARJETERO DOBLE MIEL,,"3,9"" x 2,8""",16,1,Taxable Goods,"Catalog, Search",80000,,,,A55-01,TARJETERO DOBLE MIEL,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
A55-11,Default,,simple,Default Category,base,TARJETERO DOBLE NARANJA,,"""",16,1,Taxable Goods,"Catalog, Search",80000,,,,A55-11,TARJETERO DOBLE NARANJA,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
A55-03,Default,,simple,Default Category,base,TARJETERO DOBLE NEGRO,,"""",16,1,Taxable Goods,"Catalog, Search",80000,,,,A55-03,TARJETERO DOBLE NEGRO,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
A55-46,Default,,simple,Default Category,base,TARJETERO DOBLE PEACH,,"""",16,1,Taxable Goods,"Catalog, Search",80000,,,,A55-46,TARJETERO DOBLE PEACH,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
A55-20,Default,,simple,Default Category,base,TARJETERO DOBLE ROJO,,"""",16,1,Taxable Goods,"Catalog, Search",80000,,,,A55-20,TARJETERO DOBLE ROJO,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
A55-56,Default,,simple,Default Category,base,TARJETERO DOBLE NEGRO METALICO,,"""",16,1,Taxable Goods,"Catalog, Search",80000,,,,A55-56,TARJETERO DOBLE NEGRO METALICO,,,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
